[ 2025-06-08 13:53:06,920 ] 18 root - INFO - Initiate the data ingestion
[ 2025-06-08 13:53:10,791 ] 66 root - INFO - Performed train test split on the dataframe
[ 2025-06-08 13:53:10,791 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-08 13:53:10,792 ] 76 root - INFO - Exporting train and test file path.
[ 2025-06-08 13:53:10,863 ] 85 root - INFO - Exported train and test file path.
[ 2025-06-08 13:53:10,863 ] 20 root - INFO - Data Initiation Completed
[ 2025-06-08 13:53:10,872 ] 24 root - INFO - Initiate the data validation
[ 2025-06-08 13:53:10,997 ] 32 root - INFO - Required number of columns:2
[ 2025-06-08 13:53:11,005 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-08 13:53:11,005 ] 32 root - INFO - Required number of columns:2
[ 2025-06-08 13:53:11,005 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-08 13:53:11,222 ] 26 root - INFO - data Validation Completed
[ 2025-06-08 13:53:11,223 ] 29 root - INFO - data Transformation Started
[ 2025-06-08 13:53:11,223 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-08 13:53:11,223 ] 65 root - INFO - Starting data transformation
[ 2025-06-08 13:53:11,329 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-08 13:53:11,329 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-08 13:53:11,410 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-08 13:53:11,420 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-08 13:53:11,421 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-08 13:53:11,431 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-08 13:53:11,436 ] 33 root - INFO - data Transformation Completed
[ 2025-06-08 13:53:11,436 ] 35 root - INFO - Model Training started
[ 2025-06-08 13:57:37,998 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-08 13:57:38,000 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-08 13:57:38,000 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_08_2025_13_53_03\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913644214162349, precision=0.9908610885458976, recall=0.9918682659077048), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9725585149313963, precision=0.9717741935483871, recall=0.9733441033925686))
[ 2025-06-08 13:57:38,002 ] 40 root - INFO - Model Training artifact created
